#{"t_start": 1781161091.3453863, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t,is_success
-100.0,100,1979.403574,0.0
-100.0,100,1983.808872,0.0
-100.0,100,1988.148108,0.0
-100.0,100,1992.518026,0.0
-100.0,100,1996.847136,0.0
-100.0,100,2001.285347,0.0
-100.0,100,2005.619913,0.0
-100.0,100,2009.941762,0.0
-55.0,100,2014.163862,1.0
-100.0,100,2018.596021,0.0
-100.0,100,2022.972992,0.0
-100.0,100,2027.363699,0.0
-100.0,100,2031.744875,0.0
-100.0,100,2035.611532,0.0
-80.0,100,2040.093621,0.0
-100.0,100,2044.473453,0.0
-97.0,100,2048.852091,0.0
-100.0,100,2053.223745,0.0
-100.0,100,2057.549792,0.0
-100.0,100,2061.96803,0.0
-100.0,100,2066.296886,0.0
-100.0,100,2070.571937,0.0
-100.0,100,2074.953034,0.0
-100.0,100,2079.323456,0.0
-100.0,100,2083.804995,0.0
-100.0,100,2088.234841,0.0
-100.0,100,2092.569456,0.0
-100.0,100,2096.889925,0.0
-100.0,100,2101.266006,0.0
-100.0,100,2105.798897,0.0
-100.0,100,2110.258254,0.0
-100.0,100,2114.55331,0.0
-100.0,100,2118.984782,0.0
-54.0,100,2123.366524,0.0
-100.0,100,2127.694643,0.0
-77.0,100,2132.018176,0.0
-92.0,100,2136.405817,0.0
-100.0,100,2140.849035,0.0
-100.0,100,2145.287422,0.0
-100.0,100,2149.622934,0.0
-100.0,100,2153.94485,0.0
-100.0,100,2158.282795,0.0
-100.0,100,2162.122173,0.0
-100.0,100,2166.452061,0.0
-100.0,100,2170.829885,0.0
-100.0,100,2175.211835,0.0
-90.0,100,2179.587395,0.0
-100.0,100,2183.879673,0.0
-100.0,100,2188.177449,0.0
-100.0,100,2192.459514,0.0
-100.0,100,2196.77726,0.0
-100.0,100,2201.183383,0.0
-100.0,100,2205.559024,0.0
-58.0,100,2209.700644,1.0
-100.0,100,2214.185403,0.0
-100.0,100,2218.590479,0.0
-100.0,100,2222.947562,0.0
-100.0,100,2227.328697,0.0
-100.0,100,2231.768695,0.0
-100.0,100,2236.127798,0.0
-100.0,100,2240.519941,0.0
-100.0,100,2244.887612,0.0
-72.0,100,2249.305227,1.0
-100.0,100,2253.739033,0.0
-100.0,100,2258.119959,0.0
-100.0,100,2262.506362,0.0
-100.0,100,2266.818329,0.0
-100.0,100,2271.266792,0.0
-100.0,100,2275.579643,0.0
-100.0,100,2279.96436,0.0
-98.0,100,2284.412341,0.0
-100.0,100,2288.345345,0.0
-100.0,100,2292.731165,0.0
-100.0,100,2297.086169,0.0
-26.0,100,2301.499138,0.0
-100.0,100,2305.871253,0.0
-100.0,100,2307.270702,0.0
-100.0,100,2308.00815,0.0
-100.0,100,2308.80303,0.0
-100.0,100,2309.666059,0.0
-100.0,100,2310.565284,0.0
-88.0,100,2311.52512,0.0
-100.0,100,2312.403492,0.0
-100.0,100,2313.294956,0.0
-100.0,100,2314.168586,0.0
-100.0,100,2315.059173,0.0
-79.0,100,2315.970697,1.0
-33.0,100,2316.894967,1.0
-100.0,100,2317.804497,0.0
-100.0,100,2318.700374,0.0
-100.0,100,2319.61645,0.0
-100.0,100,2320.584561,0.0
-100.0,100,2321.569544,0.0
-100.0,100,2322.523379,0.0
-100.0,100,2323.499306,0.0
-100.0,100,2324.468884,0.0
-100.0,100,2325.439076,0.0
-100.0,100,2326.438998,0.0
-100.0,100,2327.366543,0.0
-100.0,100,2328.329474,0.0
-100.0,100,2329.266062,0.0
-100.0,100,2330.18233,0.0
-100.0,100,2331.095309,0.0
-100.0,100,2332.064461,0.0
-63.0,100,2333.026999,1.0
-100.0,100,2334.022604,0.0
-100.0,100,2334.984905,0.0
-100.0,100,2335.957615,0.0
-95.0,100,2336.938733,1.0
-100.0,100,2337.876431,0.0
-100.0,100,2338.757605,0.0
-100.0,100,2339.634651,0.0
